Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$46,370 ",4.8,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,150 ",1.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,245 ",4.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,395 ",4.4,,,,,,,,,,
2023,Honda,Odyssey EX-L,New,"$42,250 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",1.2,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",1.2,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,700 ",1.2,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,850 ",1.2,,,,,,,,,,
2023,Honda,Pilot Elite,New,"$53,375 ",1.2,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,600 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$34,640 ",4.7,,,,,,,,,,
2023,Honda,Pilot Sport,New,"$42,595 ",4.3,,,,,,,,,,
2023,Honda,Pilot Elite,New,"$53,720 ",4.3,,,,,,,,,,
2023,Honda,Pilot TrailSport,New,"$50,150 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,939 ",4.5,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,New,"$43,190 ",4.7,,,,,,,,,,
2022,Honda,Ridgeline RTL-E,New,"$42,795 ",4.7,,,,,,,,,,
2022,Honda,Passport Elite,New,"$41,950 ",4.7,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$48,820 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,469 ",5,,,,,,,,,,
2023,Honda,HR-V Sport,New,"$29,039 ",4.6,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,504 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,239 ",4.4,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,089 ",4.4,,,,,,,,,,
2022,Honda,Civic Sport,New,"$25,845 ",4.6,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,420 ",4.4,,,,,,,,,,
2022,Honda,Passport Elite,New,"$47,620 ",4.9,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,595 ",4.5,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,482 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,400 ",4.9,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.6,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",4.8,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",4.8,,,,,,,,,,
2023,Honda,Accord EX,New,"$30,705 ",4.8,,,,,,,,,,
2022,Honda,Passport Elite,New,"$47,050 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.9,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,719 ",4.5,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$41,500 ",4.5,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,605 ",5,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,860 ",4.7,,,,,,,,,,
2023,Honda,Odyssey Sport,New,"$43,160 ",4.4,,,,,,,,,,
2022,Honda,Passport EX-L,New,"$43,230 ",4.9,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,505 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,005 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,055 ",4.7,,,,,,,,,,
2022,Honda,Passport TrailSport,New,"$47,848 ",4.9,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,,,,,,,,,,
2022,Honda,CR-V Touring,New,"$36,845 ",4.8,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$44,290 ",4.8,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$44,100 ",5,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$38,500 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$37,000 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,400 ",4.7,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$35,900 ",4.7,,,,,,,,,,
